Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","0115","Barley","2016","2016","t","2","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","0115","Barley","2016","2016","1000 USD","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0115","Barley","2017","2017","t","16383.1","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","0115","Barley","2017","2017","1000 USD","4112","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","0115","Barley","2017","2017","t","1","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","0115","Barley","2017","2017","1000 USD","1","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0115","Barley","2018","2018","t","18498","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","0115","Barley","2018","2018","1000 USD","4602","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","0115","Barley","2018","2018","t","1914","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","0115","Barley","2018","2018","1000 USD","443","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0115","Barley","2019","2019","t","11927.03","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","0115","Barley","2019","2019","1000 USD","2983","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0115","Barley","2020","2020","t","5451","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","0115","Barley","2020","2020","1000 USD","902","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","0115","Barley","2020","2020","t","1528","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","0115","Barley","2020","2020","1000 USD","398","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0115","Barley","2021","2021","t","8279.25","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","0115","Barley","2021","2021","1000 USD","1815","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0115","Barley","2022","2022","t","8940.66","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","0115","Barley","2022","2022","1000 USD","2016","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","0115","Barley","2022","2022","t","3346","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","0115","Barley","2022","2022","1000 USD","757","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0115","Barley","2023","2023","t","15463.5","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","0115","Barley","2023","2023","1000 USD","2206","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","0115","Barley","2023","2023","t","3112","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","0115","Barley","2023","2023","1000 USD","576","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01701","Beans, dry","2015","2015","t","73.24","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01701","Beans, dry","2015","2015","1000 USD","66","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01701","Beans, dry","2015","2015","t","15924.89","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01701","Beans, dry","2015","2015","1000 USD","13601","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01701","Beans, dry","2016","2016","t","270.91","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01701","Beans, dry","2016","2016","1000 USD","111","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01701","Beans, dry","2016","2016","t","16250.75","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01701","Beans, dry","2016","2016","1000 USD","13709","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01701","Beans, dry","2017","2017","t","170.04","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01701","Beans, dry","2017","2017","1000 USD","103","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01701","Beans, dry","2017","2017","t","12717.81","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01701","Beans, dry","2017","2017","1000 USD","8222","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01701","Beans, dry","2018","2018","t","48233","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01701","Beans, dry","2018","2018","1000 USD","45168","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01701","Beans, dry","2018","2018","t","53552.5","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01701","Beans, dry","2018","2018","1000 USD","34320","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01701","Beans, dry","2019","2019","t","28913.54","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01701","Beans, dry","2019","2019","1000 USD","27406","A","Official figure",""
